En modo alguno aceptaremos esas condiciones.,C1,C1,Real C1 (archaic negation)
"Mal que le pese, tendrá que disculparse.",C1,B2,Fixed B2 adversative
"Quiérase o no, la realidad es esa.",C1,C1,Real C1 inversion
"A poco que analices los datos, verás el error.",C1,B2,High B2
"De haber mediado un acuerdo previo, nada habría pasado.",C1,C1,Real C1 (formal + inversion)
"Así las cosas, poco podemos hacer.",C1,C1,Real C1 discourse marker
"Con todo y con eso, salió adelante.",C1,B2,High B2 colloquial
Ni que fuera el fin del mundo.,C1,B2,Very common spoken B2
Cabría esperar una respuesta más rápida.,C1,C1,Real C1 (conditional of "caber")
"Habida cuenta de lo sucedido, actuaremos con cautela.",C1,C1,Legal/formal C1
Me duele la cabeza desde ayer.,B1,B1,
No estoy seguro de poder venir.,B1,B1,
Me gustaría que me ayudaras mañana.,B1,B1,
Es una pena que no hayas podido venir.,B1,B1,
Lo importante es que estés bien.,B1,B1,
No entiendo por qué se enfadó tanto.,B1,B1,
"Aunque no me guste, lo haré.",B2,B2,
Me extraña que no te haya llamado.,B2,B2,
Habría llegado antes si no hubiera tráfico.,B2,B2,
Para que veas lo fácil que es.,B2,B2,
No me había fijado en ese detalle.,B2,B2,
Es normal que esté nervioso antes del examen.,B2,B2,
Ojalá llueva esta noche.,B1,B1,
"A pesar de la lluvia, salimos a pasear.",B2,B2,
"De no haber sido por ti, no lo habríamos conseguido.",B2,B2,
"En caso de que llueva, llevaremos paraguas.",B2,B2,
No veo el momento de que lleguen las vacaciones.,B2,B2,
"Tan pronto como pueda, te devuelvo el dinero.",B2,B2,
"Por muy cansado que esté, iré al cumpleaños.",B2,B2,
"Siempre y cuando me avises con tiempo, no hay problema.",C1,B2,Standard B2
"A la postre, todo salió mejor de lo esperado.",C1,B2,Formal but high B2
"Venga lo que venga, lo afrontaremos juntos.",C1,B2,Common motivational B2
Ni por asomo se me ocurrió que pudiera pasar.,C1,C1,Real C1 fixed expression
"Fuere cual fuere su decisión, la respetaremos.",C1,C1,Real C1 (archaic future subj.)
Huelga decir que estamos muy agradecidos.,C1,C1,Real C1 fixed expression
"Cuando termines, avísame.",B2,B2,
"Aunque llueva, vamos al parque.",B2,B2,
"Para que entiendas mejor, te explico otra vez.",B2,B2,
"Antes de que salgas, cierra la ventana.",B2,B2,
Prefiero que me llames por la tarde.,B2,B2,
"Hasta que llegues, no empiezo la película.",B2,B2,
"Sea como sea, lo arreglaremos.",B2
"Sea como fuere, lo arreglaremos.",C1
"En caso de que haya problemas, avísame.",B2
"En caso de que hubiere problemas, se suspenderá el acto.",C1
"Aunque sea difícil, lo intentaré.",B2
"Aunque fuere menester, lo intentaré.",C1
"Hubo un tiempo en que creía en los milagros.",B2
"Venga lo que venga, aquí estoy.",B2
"Viniere lo que viniere, aquí estoy.",C1
"A poco que corras, llegas a tiempo.",B2
"A poco que corriere, llegaría a tiempo.",C1
"Mal que bien hubimos terminado el proyecto.",B2
"De haberlo yo sabido, otro gallo cantara.",C1
"Por más que gritase, no me oyere.",C1
"Si hubiere lugar, se adoptarán medidas.",C1
"Si hay lugar, adoptaremos medidas.",B2
"Ni que fuere el rey de España.",C1
"A la postre, hubiérase visto mejor solución.",C1
"Visto bueno.",C1
"Dado el caso.",C1
"Sin perjuicio de lo anterior.",C1
"Habida cuenta de las circunstancias.",C1
"En modo alguno lo permitiré.",C1
"Ni por asomo se me ocurrió.",C1
"Huelga decir que estamos encantados.",C1
"Cabría pensar que exageras.",C1
"A fuer de sincero, me decepcionó.",C1
"Fuese cual fuere su decisión, la acataremos.",C1
"Así las cosas, poco cabe hacer.",C1
"Menester sería revisar el acuerdo.",C1
"Quien hubiere terminado, puede salir.",C1
"Tengo mucha sed y quiero agua fría.",A2
"Mi hermano mayor trabaja en una fábrica.",A2
"Necesito ayuda porque no entiendo nada.",A2
"Quiero comer pizza aunque estoy a dieta.",A2
"Vivo con mis padres y mi hermana pequeña.",A2
"Me duele la cabeza desde esta mañana.",A2
"El tren sale a las ocho y media exactamente.",A2
"Me da igual ocho que ochenta.",B2
"Ni de coña pienso ir.",B2
"A mí plín, haz lo que quieras.",B2
"Total, que al final no vino nadie.",B2
"Échame una mano, anda.",B2
"Estoy hasta el gorro de tanto ruido.",B2
"Nos pilló el toro y no llegamos.",B2
"Esto es pan comido.",B2
"Ni loco me meto en ese lío.",B2
"Venga ya, no me lo trago.",B2
"Como dos y dos son cuatro.",B2
"De perdidos al río.",B2
"Quien ríe último ríe mejor.",B2
"No hay tu tía.",B2
"Estar en el quinto sueño.",B2
"Fuérelo o no, así se hará.",C2
"Venga lo que viniere y fuere lo que fuere.",C2
"Así en la tierra como lo fuere en el cielo.",C2
"Diera lo que diere, menester será afrontarlo.",C2
"Ni aun en sueños hubiérase imaginado tal desaguisado.",C2
